stamp,frame_id,cone_id,X_stereo,Y_stereo,Z_stereo,color,confidence
1757267626.9217591,camera,0,2.8718409538269043,1.4473716020584106,-0.0178182702511549,3.0,0.944173276424408
1757267626.9217591,camera,1,2.3918049335479736,-1.3902790546417236,-0.1295931488275528,3.0,0.9390848875045776
1757267626.9217591,camera,2,2.228524684906006,1.4396299123764038,-0.18703633546829224,3.0,0.9314824342727661
1757267626.9217591,camera,3,2.5671958923339844,1.441636085510254,-0.19329017400741577,0.0,0.9145200848579407
1757267626.9217591,camera,4,5.9853410720825195,1.4141680002212524,0.6922575831413269,0.0,0.9093039035797119
1757267626.9217591,camera,5,6.084788799285889,-1.4349663257598877,0.7504690289497375,1.0,0.9087428450584412
1757267626.9217591,camera,6,3.060682773590088,-1.3502904176712036,0.04268473759293556,3.0,0.9035484194755554
1757267626.9217591,camera,7,2.8020901679992676,-1.4136642217636108,-0.13569076359272003,1.0,0.8861882090568542
1757267626.9217591,camera,8,9.365859985351562,-1.3909152746200562,1.595505952835083,1.0,0.8763352632522583
1757267626.9217591,camera,9,12.35116958618164,-0.6253966689109802,2.412205457687378,1.0,0.8432610630989075
1757267626.9217591,camera,10,14.122754096984863,2.740542411804199,2.7717506885528564,0.0,0.8212669491767883
1757267626.9217591,camera,11,14.269353866577148,3.8780593872070312,2.8142147064208984,0.0,0.8179672956466675
1757267626.9217591,camera,12,9.097691535949707,1.4075026512145996,1.523633360862732,0.0,0.7944735884666443
1757267626.9217591,camera,13,15.633543968200684,11.104372024536133,3.338282346725464,0.0,0.7753459811210632
1757267626.9217591,camera,14,14.560132026672363,6.94692850112915,2.9973032474517822,0.0,0.7426770329475403
1757267626.9217591,camera,15,14.704021453857422,0.652288019657135,2.970486640930176,1.0,0.7241864800453186
1757267626.9217591,camera,16,15.728607177734375,13.20937442779541,3.373673915863037,0.0,0.7066019177436829
1757267626.9217591,camera,17,15.088886260986328,5.5341691970825195,3.0627150535583496,0.0,0.6771524548530579
1757267626.9217591,camera,18,17.826488494873047,13.123849868774414,3.943392753601074,1.0,0.6520898938179016
1757267626.9217591,camera,19,15.176347732543945,7.503062725067139,3.2843432426452637,1.0,0.6474212408065796
1757267626.9217591,camera,20,13.987113952636719,14.296876907348633,2.9464504718780518,0.0,0.631540834903717
1757267626.9217591,camera,21,14.715224266052246,2.262470245361328,3.0715901851654053,1.0,0.6300066709518433
1757267626.9217591,camera,22,17.36711883544922,15.935286521911621,3.825110912322998,1.0,0.6244950890541077
1757267626.9217591,camera,23,14.504799842834473,16.092578887939453,3.111176013946533,1.0,0.5791128873825073
1757267626.9217591,camera,24,13.339437484741211,15.93883991241455,2.7972145080566406,0.0,0.571165919303894
1757267626.9217591,camera,25,15.709843635559082,9.274262428283691,3.4600958824157715,1.0,0.4266957938671112
1757267626.9217591,camera,26,14.565109252929688,7.0611114501953125,3.0402557849884033,1.0,0.25494834780693054
1757267626.988511,camera,0,2.864940643310547,1.4466429948806763,-0.017775459215044975,3.0,0.9443581700325012
1757267626.988511,camera,1,2.3963088989257812,-1.3905977010726929,-0.12983718514442444,3.0,0.9390933513641357
1757267626.988511,camera,2,2.228898525238037,1.4420101642608643,-0.18706770241260529,3.0,0.931475818157196
1757267626.988511,camera,3,2.5672454833984375,1.4416638612747192,-0.19329391419887543,0.0,0.912129819393158
1757267626.988511,camera,4,5.96998929977417,1.4048123359680176,0.6904820203781128,0.0,0.9092496037483215
1757267626.988511,camera,5,6.084469795227051,-1.429052710533142,0.7504296898841858,1.0,0.9053555130958557
1757267626.988511,camera,6,3.0563013553619385,-1.3512901067733765,0.04262363538146019,3.0,0.9042364954948425
