mono_stamp,stereo_stamp,dt,mono_detection_id,stereo_cone_id,u,v,X_mono,Y_mono,X_stereo,Y_stereo,Z_stereo,stereo_color,stereo_confidence,error_x,error_y,error_2d,mono_range,stereo_range,error_range
1757267626.9217591,1757267626.9217591,0.0,0,2,383,407,1.6736069917678833,1.4081710577011108,2.228524684906006,1.4396299123764038,-0.18703633546829224,3.0,0.9314824342727661,-0.5549176931381226,-0.03145885467529297,0.5558086952317468,2.1872142306233764,2.6530843476686345,-0.46587011704525816
1757267626.9217591,1757267626.9217591,0.0,3,3,353,428,1.321621060371399,1.4148409366607666,2.5671958923339844,1.441636085510254,-0.19329017400741577,0.0,0.9145200848579407,-1.2455748319625854,-0.026795148849487305,1.245863010936792,1.9360932578954806,2.9442841834072015,-1.008190925511721
1757267626.9217591,1757267626.9217591,0.0,4,4,522,309,5.33482027053833,1.3498468399047852,5.9853410720825195,1.4141680002212524,0.6922575831413269,0.0,0.9093039035797119,-0.6505208015441895,-0.06432116031646729,0.6536929897942546,5.502944103854554,6.15013649295751,-0.6471923891029565
1757267626.9217591,1757267626.9217591,0.0,5,5,768,305,5.477976322174072,-1.4295506477355957,6.084788799285889,-1.4349663257598877,0.7504690289497375,1.0,0.9087428450584412,-0.6068124771118164,0.005415678024291992,0.6068366435434182,5.661434415476438,6.251702415180992,-0.5902679997045537
1757267626.9217591,1757267626.9217591,0.0,6,1,875,394,1.7514901161193848,-1.3874512910842896,2.3918049335479736,-1.3902790546417236,-0.1295931488275528,3.0,0.9390848875045776,-0.6403148174285889,0.002827763557434082,0.6403210613944725,2.234443714215097,2.766515261103743,-0.5320715468886461
1757267626.9217591,1757267626.9217591,0.0,7,7,908,412,1.3973170518875122,-1.4445818662643433,2.8020901679992676,-1.4136642217636108,-0.13569076359272003,1.0,0.8861882090568542,-1.4047731161117554,-0.030917644500732422,1.4051133080615972,2.009803898850677,3.1384957928110526,-1.1286918939603758
1757267626.988511,1757267626.988511,0.0,0,2,382,407,1.6739637851715088,1.4136587381362915,2.228898525238037,1.4420101642608643,-0.18706770241260529,3.0,0.931475818157196,-0.5549347400665283,-0.028351426124572754,0.5556585004262983,2.19102391177614,2.6546905562871053,-0.4636666445109654
1757267626.988511,1757267626.988511,0.0,3,3,353,428,1.321621060371399,1.4148409366607666,2.5672454833984375,1.4416638612747192,-0.19329391419887543,0.0,0.912129819393158,-1.2456244230270386,-0.026822924613952637,1.2459131881982342,1.9360932578954806,2.9443410232062472,-1.0082477653107667
1757267626.988511,1757267626.988511,0.0,4,4,523,309,5.334138870239258,1.3388067483901978,5.96998929977417,1.4048123359680176,0.6904820203781128,0.0,0.9092496037483215,-0.6358504295349121,-0.06600558757781982,0.639267163501478,5.499585529522427,6.133047361524775,-0.6334618320023475
1757267626.988511,1757267626.988511,0.0,5,5,768,305,5.477976322174072,-1.4295506477355957,6.084469795227051,-1.429052710533142,0.7504296898841858,1.0,0.9053555130958557,-0.6064934730529785,-0.0004979372024536133,0.6064936774586538,5.661434415476438,6.250037146970603,-0.5886027314941646
1757267626.988511,1757267626.988511,0.0,6,1,876,394,1.7511073350906372,-1.3933608531951904,2.3963088989257812,-1.3905977010726929,-0.12983718514442444,3.0,0.9390933513641357,-0.645201563835144,-0.0027631521224975586,0.6452074805711474,2.2378184390662845,2.770570032556396,-0.5327515934901115
1757267626.988511,1757267626.988511,0.0,7,7,909,412,1.3969670534133911,-1.4499597549438477,2.7965006828308105,-1.4135277271270752,-0.1354200839996338,1.0,0.8877679705619812,-1.3995336294174194,-0.03643202781677246,1.4000077401647237,2.013429968804308,3.1334448621972313,-1.1200148933929235
1757267627.021736,1757267627.021736,0.0,0,2,382,407,1.6739637851715088,1.4136587381362915,2.2306466102600098,1.4410006999969482,-0.1872144192457199,3.0,0.9323595762252808,-0.556682825088501,-0.02734196186065674,0.5573538827593328,2.19102391177614,2.6556105356878232,-0.46458662391168337
1757267627.021736,1757267627.021736,0.0,3,3,353,428,1.321621060371399,1.4148409366607666,2.5674757957458496,1.4417932033538818,-0.19331125915050507,0.0,0.9129674434661865,-1.2458547353744507,-0.026952266693115234,1.2461462379411332,1.9360932578954806,2.9446051692847095,-1.008511911389229
1757267627.021736,1757267627.021736,0.0,4,4,523,309,5.334138870239258,1.3388067483901978,5.962368965148926,1.4030191898345947,0.6896006464958191,0.0,0.910322368144989,-0.628230094909668,-0.06421244144439697,0.6315031985560015,5.499585529522427,6.12521889597549,-0.6256333664530622
1757267627.021736,1757267627.021736,0.0,5,5,768,305,5.477976322174072,-1.4295506477355957,6.081639766693115,-1.4283881187438965,0.7500806450843811,1.0,0.9071451425552368,-0.603663444519043,-0.0011625289916992188,0.6036645639113267,5.661434415476438,6.24713013067535,-0.585695715198912
1757267627.021736,1757267627.021736,0.0,6,1,876,394,1.7511073350906372,-1.3933608531951904,2.4058632850646973,-1.3961422443389893,-0.1303548663854599,3.0,0.9387531280517578,-0.6547559499740601,0.002781391143798828,0.6547618575964307,2.2378184390662845,2.7816166725216123,-0.5437982334553277
1757267627.021736,1757267627.021736,0.0,7,7,908,412,1.3973170518875122,-1.4445818662643433,2.8052496910095215,-1.4152581691741943,-0.13584375381469727,1.0,0.882826566696167,-1.4079326391220093,-0.029323697090148926,1.408237975455889,2.009803898850677,3.142034613800954,-1.132230714950277
1757267627.0885391,1757267627.0885391,0.0,0,2,382,407,1.6739637851715088,1.4136587381362915,2.2350738048553467,1.443860650062561,-0.1875859946012497,3.0,0.9332593679428101,-0.5611100196838379,-0.03020191192626953,0.5619222452204568,2.19102391177614,2.6608811491589845,-0.4698572373828447
