bbox_stamp,detection_id,x_min,y_min,x_max,y_max,u_bottom_center,v_bottom_center,X_mono,Y_mono,inside_roi
1757267626.9217591,0,356,311,410,407,383,407,1.6736069917678833,1.4081710577011108,1
1757267626.9217591,3,328,362,378,428,353,428,1.321621060371399,1.4148409366607666,1
1757267626.9217591,4,511,282,534,309,522,309,5.33482027053833,1.3498468399047852,1
1757267626.9217591,5,757,278,780,305,768,305,5.477976322174072,-1.4295506477355957,1
1757267626.9217591,6,848,303,903,394,875,394,1.7514901161193848,-1.3874512910842896,1
1757267626.9217591,7,884,350,933,412,908,412,1.3973170518875122,-1.4445818662643433,1
1757267626.988511,0,356,311,409,407,382,407,1.6739637851715088,1.4136587381362915,1
1757267626.988511,3,328,362,378,428,353,428,1.321621060371399,1.4148409366607666,1
1757267626.988511,4,511,282,535,309,523,309,5.334138870239258,1.3388067483901978,1
1757267626.988511,5,757,278,779,305,768,305,5.477976322174072,-1.4295506477355957,1
1757267626.988511,6,849,303,903,394,876,394,1.7511073350906372,-1.3933608531951904,1
1757267626.988511,7,884,350,934,412,909,412,1.3969670534133911,-1.4499597549438477,1
1757267627.021736,0,356,311,409,407,382,407,1.6739637851715088,1.4136587381362915,1
1757267627.021736,3,328,362,378,428,353,428,1.321621060371399,1.4148409366607666,1
1757267627.021736,4,511,282,535,309,523,309,5.334138870239258,1.3388067483901978,1
1757267627.021736,5,757,278,779,305,768,305,5.477976322174072,-1.4295506477355957,1
1757267627.021736,6,849,303,903,394,876,394,1.7511073350906372,-1.3933608531951904,1
1757267627.021736,7,884,350,933,412,908,412,1.3973170518875122,-1.4445818662643433,1
1757267627.0885391,0,355,311,409,407,382,407,1.6739637851715088,1.4136587381362915,1
1757267627.0885391,3,328,362,378,429,353,429,1.3060998916625977,1.408082127571106,1
1757267627.0885391,4,511,282,534,309,522,309,5.33482027053833,1.3498468399047852,1
1757267627.0885391,5,757,278,780,305,768,305,5.477976322174072,-1.4295506477355957,1
1757267627.0885391,6,849,303,903,394,876,394,1.7511073350906372,-1.3933608531951904,1
1757267627.121799,0,355,311,409,407,382,407,1.6739637851715088,1.4136587381362915,1
1757267627.121799,3,328,363,377,428,352,428,1.3219445943832397,1.4197946786880493,1
1757267627.121799,4,511,282,534,309,522,309,5.33482027053833,1.3498468399047852,1
1757267627.121799,5,757,278,779,305,768,305,5.477976322174072,-1.4295506477355957,1
1757267627.121799,6,849,303,903,394,876,394,1.7511073350906372,-1.3933608531951904,1
1757267627.1717641,0,356,311,409,407,382,407,1.6739637851715088,1.4136587381362915,1
1757267627.1717641,3,328,362,378,428,353,428,1.321621060371399,1.4148409366607666,1
1757267627.1717641,4,511,282,535,309,523,309,5.334138870239258,1.3388067483901978,1
1757267627.1717641,5,757,278,779,305,768,305,5.477976322174072,-1.4295506477355957,1
1757267627.1717641,6,849,303,903,394,876,394,1.7511073350906372,-1.3933608531951904,1
1757267627.1717641,7,884,350,934,412,909,412,1.3969670534133911,-1.4499597549438477,1
1757267627.221699,0,355,311,409,407,382,407,1.6739637851715088,1.4136587381362915,1
1757267627.221699,3,328,362,378,428,353,428,1.321621060371399,1.4148409366607666,1
1757267627.221699,4,511,282,534,309,522,309,5.33482027053833,1.3498468399047852,1
1757267627.221699,5,757,278,780,305,768,305,5.477976322174072,-1.4295506477355957,1
1757267627.221699,6,848,303,903,394,875,394,1.7514901161193848,-1.3874512910842896,1
1757267627.221699,7,884,350,934,412,909,412,1.3969670534133911,-1.4499597549438477,1
1757267627.255765,0,356,311,409,407,382,407,1.6739637851715088,1.4136587381362915,1
1757267627.255765,3,328,362,378,428,353,428,1.321621060371399,1.4148409366607666,1
1757267627.255765,4,757,278,780,305,768,305,5.477976322174072,-1.4295506477355957,1
1757267627.255765,5,511,282,535,309,523,309,5.334138870239258,1.3388067483901978,1
1757267627.255765,6,849,303,903,394,876,394,1.7511073350906372,-1.3933608531951904,1
1757267627.255765,7,884,350,933,412,908,412,1.3973170518875122,-1.4445818662643433,1
1757267627.288445,0,356,311,409,407,382,407,1.6739637851715088,1.4136587381362915,1
1757267627.288445,3,329,363,377,428,353,428,1.321621060371399,1.4148409366607666,1
1757267627.288445,4,511,282,535,309,523,309,5.334138870239258,1.3388067483901978,1
1757267627.288445,5,757,278,780,305,768,305,5.477976322174072,-1.4295506477355957,1
1757267627.288445,6,849,303,903,394,876,394,1.7511073350906372,-1.3933608531951904,1
1757267627.355125,0,356,311,409,407,382,407,1.6739637851715088,1.4136587381362915,1
1757267627.355125,3,329,363,377,428,353,428,1.321621060371399,1.4148409366607666,1
1757267627.355125,4,511,282,535,309,523,309,5.334138870239258,1.3388067483901978,1
1757267627.355125,5,757,278,780,305,768,305,5.477976322174072,-1.4295506477355957,1
1757267627.355125,6,849,303,903,394,876,394,1.7511073350906372,-1.3933608531951904,1
1757267627.355125,7,884,350,934,412,909,412,1.3969670534133911,-1.4499597549438477,1
1757267627.388417,0,356,311,410,407,383,407,1.6736069917678833,1.4081710577011108,1
1757267627.388417,3,329,363,377,428,353,428,1.321621060371399,1.4148409366607666,1
1757267627.388417,4,757,278,780,305,768,305,5.477976322174072,-1.4295506477355957,1
1757267627.388417,5,511,282,534,309,522,309,5.33482027053833,1.3498468399047852,1
